10	100	-787
20	93	-3355
30	100	-888
40	100	-965
50	100	-1170
60	100	-2731
70	100	-1025
80	100	-1104
90	92	-2375
100	100	-939
110	100	-587
120	100	-1323
130	100	-556
140	100	-3178
150	100	-2128
160	100	-1228
170	100	-592
180	100	-554
190	100	-781
200	100	-766
210	100	-1946
220	100	-1151
230	100	-1234
240	100	-2990
250	100	-1268
260	92	-1536
270	100	-2054
280	100	-754
290	100	-591
300	100	-1544
310	97	-2388
320	100	-1200
330	100	-2447
340	100	-626
350	100	-3931
360	100	-2226
370	100	-1160
380	87	-1142
390	100	-1597
400	100	-872
410	100	-959
420	100	-1042
430	100	-2687
440	100	-1542
450	100	-1244
460	100	-3641
470	100	-1573
480	100	-3183
490	100	-620
500	100	-1220
510	100	-751
520	90	-774
530	100	-3940
540	100	-659
550	100	-539
560	100	-1930
570	95	-1271
580	100	-1319
590	100	-742
600	100	-3746
610	100	-1461
620	100	-592
630	100	-1433
640	100	-854
650	100	-798
660	100	-521
670	100	-2034
680	100	-648
690	100	-3540
700	100	-1540
710	90	-927
720	100	-1042
730	100	-721
740	100	-939
750	91	-664
760	100	-740
770	100	-989
780	100	-1859
790	100	-1872
800	100	-967
810	100	-1193
820	100	-819
830	100	-761
840	100	-831
850	100	-2221
860	100	-2424
870	100	-636
880	100	-806
890	100	-1707
900	100	-2154
910	100	-2701
920	88	-418
930	100	-1521
940	100	-1322
950	100	-361
960	100	-888
970	100	-1029
980	100	-2914
990	100	-858
1000	100	-1015
1010	100	-1063
1020	100	-2896
1030	100	-1077
1040	100	-440
1050	92	-897
1060	100	-1831
1070	100	-694
1080	100	-859
1090	100	-769
1100	100	-810
1110	95	-739
1120	100	-3202
1130	100	-3482
1140	100	-2386
1150	100	-3143
1160	100	-869
1170	100	-808
1180	100	-950
1190	100	-1426
1200	100	-2046
1210	99	-2711
1220	100	-2302
1230	100	-775
1240	100	-1429
1250	100	-632
1260	100	-1040
1270	100	-3862
1280	100	-1063
1290	100	-821
1300	100	-744
1310	100	-912
1320	100	-770
1330	100	-1088
1340	100	-2132
1350	96	-1206
1360	100	-2049
1370	100	-1693
1380	100	-1108
1390	100	-675
1400	100	-724
1410	100	-726
1420	100	-1978
1430	100	-1190
1440	100	-1121
1450	100	-666
1460	100	-989
1470	98	-2830
1480	100	-4178
1490	97	-1975
1500	96	-1153
1510	100	-1335
1520	100	-1789
1530	100	-890
1540	100	-652
1550	100	-1309
1560	100	-1092
1570	100	-1013
1580	100	-1271
1590	100	-570
1600	98	-3999
1610	100	-1140
1620	100	-653
1630	100	-2418
1640	97	-927
1650	100	-565
1660	100	-785
1670	91	-874
1680	100	-2106
1690	100	-1772
1700	100	-758
1710	97	-1427
1720	100	-1961
1730	100	-1175
1740	100	-785
1750	100	-2998
1760	100	-1034
1770	100	-596
1780	100	-621
1790	100	-955
1800	100	-710
1810	100	-1462
1820	100	-1187
1830	100	-628
1840	100	-872
1850	100	-2709
1860	100	-1631
1870	100	-3204
1880	100	-3563
1890	100	-677
1900	100	-1934
1910	100	-987
1920	100	-1488
1930	100	-2294
1940	100	-2083
1950	100	-1150
1960	100	-630
1970	100	-1148
1980	96	-1432
1990	100	-899
2000	100	-600
2010	99	-1828
2020	100	-1378
2030	100	-1185
2040	100	-1080
2050	100	-733
2060	100	-1183
2070	100	-573
2080	100	-892
2090	100	-1749
2100	100	-703
2110	100	-1164
2120	100	-2454
2130	100	-1495
2140	100	-639
2150	100	-720
2160	100	-818
2170	100	-696
2180	100	-580
2190	100	-856
2200	100	-2981
2210	98	-873
2220	100	-651
2230	100	-882
2240	100	-671
2250	100	-654
2260	100	-792
2270	100	-555
2280	100	-1940
2290	100	-1477
2300	100	-530
2310	100	-827
2320	100	-3228
2330	100	-1069
2340	100	-5311
2350	100	-967
2360	100	-638
2370	100	-869
2380	100	-670
2390	100	-480
2400	100	-653
2410	100	-924
2420	100	-696
2430	100	-1372
2440	100	-817
2450	100	-2672
2460	100	-2622
2470	100	-2515
2480	100	-621
2490	100	-840
2500	100	-2765
2510	100	-3737
2520	100	-1227
2530	100	-721
2540	100	-640
2550	100	-1907
2560	100	-510
2570	100	-768
2580	100	-2064
2590	100	-1738
2600	100	-981
2610	100	-842
2620	100	-1453
2630	100	-2065
2640	100	-1340
2650	100	-3365
2660	100	-1531
2670	100	-1546
2680	100	-927
2690	100	-2699
2700	100	-575
2710	100	-1046
2720	100	-1488
2730	100	-1364
2740	100	-958
2750	100	-1585
2760	100	-2076
2770	100	-1233
2780	100	-2063
2790	100	-483
2800	100	-1022
2810	100	-792
2820	100	-915
2830	100	-823
2840	100	-1376
2850	100	-1092
2860	98	-2845
2870	100	-1401
2880	100	-790
2890	99	-2913
2900	100	-888
2910	100	-1659
2920	100	-1058
2930	100	-1414
2940	95	-1293
2950	100	-688
2960	100	-2689
2970	100	-729
2980	100	-2457
2990	100	-2121
3000	100	-1805
3010	100	-490
3020	100	-924
3030	100	-2318
3040	100	-746
3050	100	-1767
3060	100	-562
3070	100	-842
3080	100	-3704
3090	100	-2107
3100	100	-1768
3110	93	-1741
3120	100	-958
3130	100	-773
3140	100	-1115
3150	100	-1276
3160	97	-860
3170	100	-2317
3180	100	-1157
3190	100	-506
3200	94	-778
3210	100	-535
3220	100	-925
3230	100	-893
3240	100	-953
3250	100	-847
3260	100	-643
3270	100	-1688
3280	100	-936
3290	100	-2182
3300	100	-831
3310	100	-1441
3320	100	-950
3330	100	-1945
3340	100	-629
3350	100	-2053
3360	100	-2283
3370	100	-728
3380	100	-934
3390	100	-880
3400	100	-1876
3410	100	-1789
3420	100	-2102
3430	100	-2388
3440	100	-760
3450	100	-2415
3460	100	-724
3470	100	-748
3480	100	-1034
3490	91	-1146
3500	100	-601
3510	100	-647
3520	100	-1219
3530	100	-872
3540	100	-1206
3550	100	-535
3560	100	-2068
3570	100	-2178
3580	100	-745
3590	100	-844
3600	100	-791
3610	100	-2380
3620	100	-1320
3630	100	-1596
3640	100	-615
3650	100	-1459
3660	100	-1876
3670	100	-920
3680	100	-2569
3690	100	-659
3700	100	-1444
3710	100	-3011
3720	100	-3126
3730	91	-1194
3740	100	-2315
3750	100	-759
3760	100	-1056
3770	100	-1249
3780	100	-2983
3790	100	-1882
3800	100	-1014
3810	100	-2667
3820	100	-1674
3830	100	-874
3840	100	-803
3850	100	-988
3860	100	-2358
3870	100	-2451
3880	100	-722
3890	100	-635
3900	100	-2036
3910	100	-681
3920	100	-1127
3930	100	-2659
3940	90	-2985
3950	100	-1590
3960	100	-754
3970	100	-1460
3980	98	-1785
3990	100	-862
4000	100	-1256
4010	100	-730
4020	100	-966
4030	100	-607
4040	100	-593
4050	100	-6022
4060	100	-2865
4070	100	-684
4080	100	-1491
4090	100	-821
4100	100	-589
4110	100	-2597
4120	100	-763
4130	100	-1643
4140	100	-2887
4150	100	-1949
4160	100	-1220
4170	100	-1972
4180	100	-1966
4190	98	-2017
4200	100	-620
4210	100	-1745
4220	100	-2784
4230	100	-586
4240	100	-1849
4250	100	-1784
4260	100	-934
4270	100	-826
4280	100	-1599
4290	100	-790
4300	100	-1352
4310	100	-637
4320	100	-1226
4330	100	-708
4340	100	-883
4350	100	-1172
4360	100	-2694
4370	100	-1316
4380	100	-971
4390	100	-2289
4400	100	-862
4410	100	-969
4420	100	-711
4430	100	-1250
4440	90	-784
4450	100	-748
4460	100	-1244
4470	100	-1394
4480	100	-1824
4490	100	-1341
4500	100	-501
4510	100	-1140
4520	100	-2935
4530	100	-483
4540	100	-1531
4550	100	-821
4560	100	-979
4570	100	-676
4580	100	-1166
4590	100	-3973
4600	100	-1699
4610	100	-3024
4620	100	-2245
4630	100	-2640
4640	100	-1189
4650	100	-802
4660	100	-4213
4670	100	-1011
4680	94	-1618
4690	100	-673
4700	100	-3240
4710	100	-1840
4720	100	-1562
4730	100	-1088
4740	100	-2876
4750	100	-628
4760	100	-787
4770	99	-892
4780	100	-1187
4790	100	-783
4800	100	-872
4810	100	-623
4820	100	-4986
4830	100	-2999
4840	96	-3643
4850	100	-1118
4860	95	-783
4870	100	-740
4880	100	-489
4890	100	-611
4900	100	-1004
4910	100	-1676
4920	100	-1574
4930	100	-1025
4940	100	-863
4950	100	-489
4960	100	-575
4970	98	-960
4980	100	-1129
4990	100	-856
5000	100	-1090
5010	100	-1566
5020	100	-930
5030	100	-751
5040	100	-1486
5050	100	-565
5060	100	-1603
5070	100	-772
5080	100	-926
5090	100	-728
5100	100	-2880
5110	100	-951
5120	100	-647
5130	100	-1098
5140	100	-550
5150	100	-1481
5160	100	-1376
5170	100	-2265
5180	100	-782
5190	100	-1312
5200	100	-1568
5210	100	-825
5220	97	-638
5230	100	-2135
5240	100	-1208
5250	100	-1200
5260	100	-741
5270	100	-1346
5280	100	-682
5290	100	-1873
5300	100	-953
5310	100	-2846
5320	100	-1389
5330	100	-664
5340	100	-2022
5350	100	-853
5360	100	-1680
5370	100	-866
5380	100	-598
5390	100	-2340
5400	100	-875
5410	100	-913
5420	100	-1518
5430	100	-1081
5440	100	-1501
5450	100	-2404
5460	100	-899
5470	98	-2079
5480	100	-1260
5490	100	-1318
5500	100	-1066
5510	100	-1195
5520	96	-2387
5530	100	-771
5540	100	-937
5550	100	-714
5560	100	-943
5570	100	-953
5580	100	-1117
5590	100	-724
5600	99	-492
5610	99	-1347
5620	100	-767
5630	100	-940
5640	100	-876
5650	100	-800
5660	100	-554
5670	100	-667
5680	100	-2153
5690	100	-687
5700	100	-698
5710	100	-1622
5720	95	-1049
5730	96	-1040
5740	100	-4064
5750	100	-1664
5760	93	-594
5770	100	-498
5780	100	-806
5790	100	-525
5800	100	-985
5810	100	-1037
5820	99	-793
5830	100	-2850
5840	100	-829
5850	100	-1871
5860	100	-846
5870	100	-1071
5880	100	-1647
5890	100	-2730
5900	100	-1422
5910	99	-707
5920	91	-697
5930	100	-1455
5940	100	-1648
5950	100	-1342
5960	100	-1956
5970	100	-2319
5980	100	-1178
5990	100	-1086
6000	100	-1843
6010	100	-1960
6020	100	-769
6030	100	-885
6040	100	-915
6050	100	-929
6060	100	-789
6070	100	-578
6080	100	-2191
6090	100	-1419
6100	100	-1469
6110	100	-953
6120	100	-2414
6130	100	-1548
6140	100	-2431
6150	98	-1473
6160	100	-3243
6170	100	-2028
6180	100	-1761
6190	100	-1308
6200	100	-1863
6210	100	-781
6220	100	-962
6230	100	-1345
6240	100	-578
6250	100	-573
6260	100	-1147
6270	100	-858
6280	100	-518
6290	100	-754
6300	100	-874
6310	100	-899
6320	100	-1740
6330	100	-2024
6340	100	-2120
6350	100	-910
6360	100	-3689
6370	100	-661
6380	100	-1130
6390	100	-1205
6400	100	-2415
6410	100	-1572
6420	100	-2964
6430	100	-750
6440	100	-2488
6450	100	-2225
6460	94	-2014
6470	100	-494
6480	100	-1408
6490	100	-468
6500	93	-2291
6510	100	-930
6520	98	-530
6530	100	-535
